"DOI";"Paper_ID";"Title";"Country";"Mattyp1";"Exporter_ecosyst";"Chemical";"Ratio";"Type_ecosyst";"Receiver_ecosyst"
"368";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"NP";28;"Terrestrial";"Stream"
"372";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CN";14.3;"Terrestrial";"Stream"
"373";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CP";888.4;"Terrestrial";"Stream"
"374";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"NP";61.8;"Terrestrial";"Stream"
"375";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CN";41.8;"Terrestrial";"Stream"
"376";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CP";273.3;"Terrestrial";"Stream"
"377";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"NP";6.5;"Terrestrial";"Stream"
"378";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CN";55.3;"Terrestrial";"Stream"
"379";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CP";2684.5;"Terrestrial";"Stream"
"380";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"NP";48.6;"Terrestrial";"Stream"
"381";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CN";19.2;"Terrestrial";"Stream"
"382";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"CP";336.8;"Terrestrial";"Stream"
"383";"10.1111/j.1365-2427.2008.02138.x";783;"Resource quality and stoichiometric constraints on stream ecosystem functioning";"Ireland";"Terr. plants";"Forest";"NP";17.6;"Terrestrial";"Stream"
